APP_id,Rank,Title,Catogory,Total Rating,Installs,Average Rating,Growth(30 days),Growth(60 days),Price,URL
app00146,146,Birthday Invitation Maker : Invitation Card Maker,Art & Design,"7,496",500.0 k,4.53,2.60%,5.30%,Free,/application/birthday_invitation_maker_invitation_card_maker/com.birthday.birthdayinvitation
app00147,147,Social Media Post Maker - Social Post,Art & Design,"7,229",100.0 k,4.55,5.30%,12.90%,Free,/application/social_media_post_maker_social_post/com.socialmedia.socialmediapostmaker
app00148,148,MediBang Colors coloring book,Art & Design,"7,168",500.0 k,3.83,1.40%,3.10%,Free,/application/medibang_colors_coloring_book/com.medibang.android.colors
app00149,149,How to Draw Weapons,Art & Design,"6,935",1.0 M,4.17,0.20%,0.60%,Free,/application/how_to_draw_weapons/com.sweefitstudios.drawweapons
app00150,150,Cute animals  - Color by Number Sandbox Pixel,Art & Design,"6,913",1.0 M,4.31,0.30%,0.70%,Free,/application/cute_animals_color_by_number_sandbox_pixel/desktop.colorbynumbers.pixelmoon
app00151,151,লিখন - ছবিতে বাংলা | Likhon - Bangla on Photos,Art & Design,"6,886",1.0 M,4.35,14.60%,67.50%,Free,/application/_likhon_bangla_on_photos/com.naeemrh.likhon
app00152,152,Stickers for WhatsApp - WAStickerApps,Art & Design,"6,865",1.0 M,4.24,0.50%,1.00%,Free,/application/stickers_for_whatsapp_wastickerapps/stickersforwhatsapp.wastickerapps
app00153,153,"Photolamus - caricatures, portraits and cartoons",Art & Design,"6,806",500.0 k,3.01,0.00%,0.00%,Free,/application/photolamus_caricatures_portraits_and_cartoons/crztbag.com.photolamus
app00154,154,Flyer Maker Poster Maker 2020 free Banner Maker,Art & Design,"6,669",100.0 k,4.59,2.50%,5.40%,Free,/application/flyer_maker_poster_maker_2020_free_banner_maker/com.business.postermaker
app00155,155,Girly Wallpapers HD - Cute Gif Girls Backgrounds,Art & Design,"6,564",500.0 k,4.27,5.10%,23.70%,Free,/application/girly_wallpapers_hd_cute_gif_girls_backgrounds/com.girly.wallpapers.lockscreen
app00156,156,DIY Fashion Nail Art Salon - Girls Makeup Games,Art & Design,"6,525",1.0 M,3.51,0.00%,0.00%,Free,/application/diy_fashion_nail_art_salon_girls_makeup_games/com.playink.princessnail.dressup
app00157,157,Pixly - Pixel Art Editor,Art & Design,"6,463",500.0 k,4.02,1.20%,2.50%,Free,/application/pixly_pixel_art_editor/com.meltinglogic.pixly
app00158,158,Color by Number Oil Painting,Art & Design,"6,393",1.0 M,4.44,8.70%,19.40%,Free,/application/color_by_number_oil_painting/com.veraxen.colorbynumber.oilpainting
app00159,159,How to Draw Animals,Art & Design,"6,382",1.0 M,4.38,0.80%,2.00%,Free,/application/how_to_draw_animals/com.sweefitstudios.drawanimals
app00160,160,Dress Up: Anime Fever,Art & Design,"6,358",500.0 k,4.15,0.10%,0.20%,Free,/application/dress_up_anime_fever/dressup.snow.anime.fever
app00161,161,Watermark Maker - Create & Add Watermark on Photos,Art & Design,"6,335",50.0 k,4.51,26.20%,62.80%,Free,/application/watermark_maker_create_add_watermark_on_photos/com.pixsterstudio.watermark_creator_apply_watermark
app00162,162,How to Draw Horses,Art & Design,"6,263",500.0 k,4.51,0.90%,2.00%,Free,/application/how_to_draw_horses/com.sweefitstudios.drawhorses
app00163,163,Top Popular Ringtones Romantic 2020 💘,Art & Design,"6,207",100.0 k,4.22,4.20%,8.50%,Free,/application/top_popular_ringtones_romantic_2020_/com.coolringtones2017.topringtones2017.bestringtonesromanticlove
app00164,164,How to make doll clothes,Art & Design,"6,198",1.0 M,4.4,15.40%,53.40%,Free,/application/how_to_make_doll_clothes/truefunapps.dress
app00165,165,Theme for Galaxy A7 HD Wallpapers 2018,Art & Design,"6,176",500.0 k,4.52,1.90%,3.90%,Free,/application/theme_for_galaxy_a7_hd_wallpapers_2018/galaxy.samsung.a3a5a72016.galaxyj2.j5.j7.j2ace.galaxys8.pro.launcher.theme
app00166,166,Urdu Designer - Urdu On Picture pro,Art & Design,"6,118",100.0 k,4.62,5.30%,13.20%,Free,/application/urdu_designer_urdu_on_picture_pro/fida.pk.urduonpicturepro
app00167,167,How to Draw Cars,Art & Design,"6,032",500.0 k,4.41,0.20%,0.80%,Free,/application/how_to_draw_cars/com.sweefitstudios.drawsupercars
app00168,168,Condor Theme Park,Art & Design,"5,871",5.0 M,4.15,2.40%,5.10%,Free,/application/condor_theme_park/dz.condor.ThemeParc
app00169,169,⭐ BTS - V Kim Taehyung Wallpaper HD Photos 2020,Art & Design,"5,811",100.0 k,4.71,8.00%,18.60%,Free,/application/_bts_v_kim_taehyung_wallpaper_hd_photos_2020/com.faizytech.bts.v.wallpaper
app00170,170,Cover Photo Maker - Banners & Thumbnails Designer,Art & Design,"5,774",100.0 k,4.58,8.00%,17.50%,Free,/application/cover_photo_maker_banners_thumbnails_designer/com.sk.socialmediapostmaker
app00171,171,How to Draw Dogs,Art & Design,"5,583",500.0 k,4.36,1.20%,2.60%,Free,/application/how_to_draw_dogs/com.sweefitstudios.drawdogs
app00172,172,Poster Maker Flyer Banner Cover Thumbnail Designer,Art & Design,"5,540",100.0 k,4.77,7.80%,14.60%,Free,/application/poster_maker_flyer_banner_cover_thumbnail_designer/com.psma.postermaker
app00173,173,NEONY - writing neon sign text on photo easy,Art & Design,"5,532",500.0 k,4.31,2.60%,6.00%,Free,/application/neony_writing_neon_sign_text_on_photo_easy/com.ptnst.neon.neon
app00174,174,Animate Space,Art & Design,"5,420",500.0 k,3.19,3.10%,7.00%,Free,/application/animate_space/air.animate.space
app00175,175,"Poster Maker, Flyer, Banner Maker, Graphic Design",Art & Design,"5,403",100.0 k,4.63,36.80%,86.80%,Free,/application/poster_maker_flyer_banner_maker_graphic_design/com.letsmake.atoz.design
app00176,176,"Invitation Card Maker, Invite Maker (RSVP)",Art & Design,"5,323",500.0 k,4.57,6.70%,12.70%,Free,/application/invitation_card_maker_invite_maker_rsvp_/com.invitationcard.invitation
app00177,177,Tie Dye 2 - Color by number. Best coloring pages.,Art & Design,"5,222",100.0 k,4.7,1.60%,3.40%,Free,/application/tie_dye_2_color_by_number_best_coloring_pages_/com.tiedye.color.free.pixelart
app00178,178,Pixelmoon Color By Number - Art Pixel Coloring,Art & Design,"5,113",100.0 k,4.59,45.60%,272.70%,Free,/application/pixelmoon_color_by_number_art_pixel_coloring/com.colorbynumber.unicorn.pixel.art.pixelmoon.draw.paintbynumber
app00179,179,X Launcher Pro,Art & Design,"5,104",10.0 k,4.55,1.70%,3.90%,$1.99 ,/application/x_launcher_pro/com.ioslauncher.pro
